fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
7161,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}","{total zerstört, Provisorium}",,,Totale Schäden
7162,nicht kartiert,nicht kartiert,Provisorium,nicht kartiert,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{Provisorium},,,
7163,schwerer Schaden alt,schwerer Schaden alt,Provisorium,schwerer Schaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{Provisorium},,,Totale Schäden
7167,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
7168,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
7169,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
7179,nicht kartiert,schwerer Schaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Schwerer Schaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7180,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7181,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,Totale Schäden
7182,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,
7183,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7184,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,Totale Schäden
7185,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,Totale Schäden
7186,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7187,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},,{total zerstört},,,Totale Schäden
7188,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7189,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7190,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7191,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7192,nicht kartiert,Totalschaden neu,Wieder aufgebaut,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,Totale Schäden
7193,nicht kartiert,Totalschaden neu,Wieder aufgebaut,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,Totale Schäden
7194,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7195,schwerer Schaden alt,Totalschaden neu,Total zerstört,schwerer Schaden alt,nicht kartiert,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Totalschaden neu},{Schwerer Schaden alt},{schwer beschädigt},{total zerstört},,,Schwere Schäden
7196,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7197,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,
7198,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{wieder aufgebaut},,,leichte u.mittlere Schäden
7199,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, schwer beschädigt}",{mehr als 10% zerstört},,,
7200,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},"{Totalschaden alt, Schwerer Schaden alt}",{Schwerer Schaden alt},"{Schwerer Schaden alt, nicht kartiert}","{total beschädigt, schwer beschädigt}",{mehr als 10% zerstört},,,Schwere Schäden
7201,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},"{Totalschaden alt, Schwerer Schaden alt}","{Schwerer Schaden alt, nicht kartiert}","{Schwerer Schaden alt, nicht kartiert}",{schwer beschädigt},"{total zerstört, mehr als 10% zerstört}",,,Schwere Schäden
7202,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{schwer beschädigt},{total zerstört},,,Schwere Schäden
7203,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{schwer beschädigt},{total zerstört},,,Schwere Schäden
7204,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7205,nicht kartiert,nicht kartiert,Mehr als 10% zerstört,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},"{Totalschaden alt, Schwerer Schaden alt, nicht kartiert}",{nicht kartiert},"{Totalschaden alt, Schwerer Schaden alt, nicht kartiert}","{total beschädigt, schwer beschädigt, leicht und mittel beschädigt}","{über 60% zerstört, mehr als 10% zerstört}",,,
7206,nicht kartiert,nicht kartiert,Mehr als 10% zerstört,nicht kartiert,nicht kartiert,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{mehr als 10% zerstört},,,
7207,nicht kartiert,schwerer Schaden alt,Mehr als 10% zerstört,nicht kartiert,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Schwerer Schaden alt},{nicht kartiert},,{mehr als 10% zerstört},,,
7208,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{schwer beschädigt},{total zerstört},,,Schwere Schäden
7209,schwerer Schaden alt,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden alt,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},"{Totalschaden alt, Schwerer Schaden alt}",{Schwerer Schaden alt},"{Totalschaden alt, Schwerer Schaden alt}","{total beschädigt, schwer beschädigt}",{wieder aufgebaut},,,
7210,nicht kartiert,schwerer Schaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Schwerer Schaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7211,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7212,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7213,nicht kartiert,schwerer Schaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Schwerer Schaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7214,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{mehr als 10% zerstört},,,Totale Schäden
7215,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,leichte u.mittlere Schäden
7216,schwerer Schaden alt,schwerer Schaden alt,Mehr als 10% zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{mehr als 10% zerstört},,,Totale Schäden
7217,Totalschaden neu,nicht kartiert,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{nicht kartiert},{Totalschaden neu},{schwer beschädigt},{wieder aufgebaut},,,Schwere Schäden
7218,schwerer Schaden alt,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{wieder aufgebaut},,,leichte u.mittlere Schäden
7219,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7220,nicht kartiert,schwerer Schaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Schwerer Schaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7221,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7222,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7223,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7224,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7225,nicht kartiert,Totalschaden neu,Provisorium,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},"{total zerstört, Provisorium}",,,Totale Schäden
7226,schwerer Schaden alt,Totalschaden neu,Total zerstört,schwerer Schaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Totalschaden neu},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7227,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7228,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7229,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,Totale Schäden
7230,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,1,Totale Schäden
7231,schwerer Schaden alt,Totalschaden neu,Total zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Totalschaden neu},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
7232,nicht kartiert,Totalschaden neu,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{Totalschaden neu},{nicht kartiert},{total beschädigt},{total zerstört},,,
7233,nicht kartiert,nicht kartiert,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{Totalschaden alt},{total beschädigt},{total zerstört},,1,
7234,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,Totale Schäden
