fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
1,Totalschaden alt,Totalschaden neu,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden neu},{Totalschaden neu},{total beschädigt},{total zerstört},,,
2,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
3,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
5,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
6,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
7,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
8,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
9,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
10,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
11,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
12,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
13,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
14,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
15,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{Provisorium},,,
16,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
17,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
18,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
19,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
20,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
21,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
22,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
23,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
24,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
25,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
26,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
27,Totalschaden alt,Totalschaden alt,Provisorium,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{Provisorium},,,
28,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
29,Totalschaden alt,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
30,schwerer Schaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Schwerer Schaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
31,schwerer Schaden neu,schwerer Schaden alt,Wieder aufgebaut,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{nicht kartiert},{leicht und mittel beschädigt},{wieder aufgebaut},,,
32,Totalschaden neu,Totalschaden alt,Unbeschädigt,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
33,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
34,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
35,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,"{Historische Gebäude, grau}",{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
36,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden alt,geräumte Fläche,total beschädigt,grau,"{Historische Gebäude, grau}",{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{wieder aufgebaut},,,
37,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
38,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
39,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,1,
40,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
41,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
42,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
43,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
44,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
45,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
46,Totalschaden neu,Totalschaden alt,Total zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,
47,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,1,
48,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,1,
49,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
50,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,1,
51,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,1,
52,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
53,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
54,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
55,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
56,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
57,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
58,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
59,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
60,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
61,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
62,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
63,Totalschaden neu,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},"{total zerstört, Provisorium}",,1,
64,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
65,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
66,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
67,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
68,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
69,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
70,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
71,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
72,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
73,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,1,
74,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
75,Totalschaden neu,Totalschaden alt,Unbeschädigt,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
76,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
77,Totalschaden neu,Totalschaden alt,Provisorium,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{Provisorium},,,
78,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
79,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
80,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, schwer beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
81,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
82,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},"{Totalschaden alt, Totalschaden neu}",{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
83,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
84,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
85,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
86,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
87,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
88,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
89,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
90,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
91,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
92,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},"{Totalschaden alt, Totalschaden neu}",{total beschädigt},{total zerstört},,,
93,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
94,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
95,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
96,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
97,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
98,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,1,
99,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
100,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
101,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
102,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
103,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
104,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
105,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
106,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
107,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
108,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
109,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
110,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
111,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
112,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
